item_id,category,name,subtype,rarity,attunement,consumable,source,heliana_n,heliana_recipes,notes,rarity_norm,category_norm,attunement_norm,source_ref,power_band
oil_of_sharpness,Potion,Oil of Sharpness,,Very Rare,,True,DMG 2024 (Magic Items A–Z PDF),0,,"One vial of this oil can coat one Melee weapon or twenty pieces of ammunition, but only ammunition and Melee weapons that are nonmagical and deal Slashing or Piercing damage areaffected.",very rare,potion,no,DMG,2
oil_of_slipperiness,Potion,Oil of Slipperiness,,Uncommon,,True,DMG 2024 (Magic Items A–Z PDF),0,,"One vial of this oil can cover one Medium or smaller creature, along with the equipment it’s wearing and carrying (one additional vial is required for each size category above Medium).",uncommon,potion,no,DMG,1
philter_of_love,Potion,Philter of Love,,Uncommon,,True,DMG 2024 (Magic Items A–Z PDF),0,,"The next time you see a creature within 10 minutes after drinking this philter, you are charmed by that creature and have the Charmed condition for 1 hour.",uncommon,potion,no,DMG,1
potion_of_animal_friendship,Potion,Potion of Animal Friendship,,Uncommon,,True,DMG 2024 (Magic Items A–Z PDF),0,,"ARTIST: CONCEPTOPOLIS, PAUL SCOTT CANAVAN",uncommon,potion,no,DMG,1
potion_of_clairvoyance,Potion,Potion of Clairvoyance,,Rare,,True,DMG 2024 (Magic Items A–Z PDF),0,,"When you drink this potion, you gain the effect of the Clairvoyance spell (no Concentrationrequired).",rare,potion,no,DMG,1
potion_of_climbing,Potion,Potion of Climbing,,Common,,True,DMG 2024 (Magic Items A–Z PDF),1,"Potion of Climbing [gp=50, rar=C, att=—, C, type=Beast, meta=Spider, comp=Pouch of claws]","When you drink this potion, you gain a Climb Speed equal to your Speed for 1 hour.",common,potion,no,DMG,1
potion_of_comprehension,Potion,Potion of Comprehension,,Common,,True,DMG 2024 (Magic Items A–Z PDF),0,,"When you drink this potion, you gain the effect of the Comprehend Languages spell for 1 hour.",common,potion,no,DMG,1
potion_of_diminution,Potion,Potion of Diminution,,Rare,,True,DMG 2024 (Magic Items A–Z PDF),0,,"When you drink this potion, you gain the “reduce” effect of the Enlarge/Reduce spell for 1d4 hours (no Concentration required).",rare,potion,no,DMG,1
potion_of_fire_breath,Potion,Potion of Fire Breath,,Uncommon,,True,DMG 2024 (Magic Items A–Z PDF),0,,"After drinking this potion, you can take a Bonus Action to exhale fire at a target within 30 feet of yourself.",uncommon,potion,no,DMG,1
potion_of_flying,Potion,Potion of Flying,,Very Rare,,True,DMG 2024 (Magic Items A–Z PDF),0,,"When you drink this potion, you gain a Fly Speed equal to your Speed for 1 hour and can hover.",very rare,potion,no,DMG,2
potion_of_gaseous_form,Potion,Potion of Gaseous Form,,Rare,,True,DMG 2024 (Magic Items A–Z PDF),0,,"When you drink this potion, you gain the effect of the Gaseous Form spell for 1 hour (no Concentration required) or until you end the effect as a Bonus Action.",rare,potion,no,DMG,1
potion_of_greater_invisibility,Potion,Potion of Greater Invisibility,,Very Rare,,True,DMG 2024 (Magic Items A–Z PDF),0,,This potion’s container looks empty but feels as though it holds liquid.,very rare,potion,no,DMG,2
potion_of_growth,Potion,Potion of Growth,,Uncommon,,True,DMG 2024 (Magic Items A–Z PDF),0,,"When you drink this potion, you gain the “enlarge” effect of the Enlarge/Reduce spell for 10 minutes (no Concentration required).",uncommon,potion,no,DMG,1
potion_of_heroism,Potion,Potion of Heroism,,Rare,,True,DMG 2024 (Magic Items A–Z PDF),0,,"When you drink this potion, you gain 10 Temporary Hit Points that last for 1 hour.",rare,potion,no,DMG,1
potion_of_invisibility,Potion,Potion of Invisibility,,Rare,,True,DMG 2024 (Magic Items A–Z PDF),0,,This potion’s container looks empty but feels as though it holds liquid.,rare,potion,no,DMG,1
potion_of_invulnerability,Potion,Potion of Invulnerability,,Rare,,True,DMG 2024 (Magic Items A–Z PDF),0,,"For 1 minute after you drink this potion, you have Resistance to all damage.",rare,potion,no,DMG,1
potion_of_longevity,Potion,Potion of Longevity,,Very Rare,,True,DMG 2024 (Magic Items A–Z PDF),0,,"1/12/26, 10:23 AM Magic Items A–Z",very rare,potion,no,DMG,2
potion_of_mind_reading,Potion,Potion of Mind Reading,,Rare,,True,DMG 2024 (Magic Items A–Z PDF),0,,"When you drink this potion, you gain the effect of the Detect Thoughts spell (save DC 13) for 10 minutes (no Concentration required).",rare,potion,no,DMG,1
potion_of_poison,Potion,Potion of Poison,,Uncommon,,True,DMG 2024 (Magic Items A–Z PDF),0,,"This concoction looks, smells, and tastes like a Potion of Healing or another beneficial potion.",uncommon,potion,no,DMG,1
potion_of_pugilism,Potion,Potion of Pugilism,,Uncommon,,True,DMG 2024 (Magic Items A–Z PDF),0,,"After you drink this potion, each Unarmed Strike you make deals an extra 1d6 Force damage on a hit.",uncommon,potion,no,DMG,1
potion_of_resistance,Potion,Potion of Resistance,,Uncommon,,True,DMG 2024 (Magic Items A–Z PDF),10,"Potion of Resistance (Acid) [gp=240, rar=U, att=—, C, type=Elemental, comp=Volatile mote of water] | Potion of Resistance (Cold) [gp=240, rar=U, att=—, C, type=Fiend, meta=Ice devil, comp=Fat] | Potion of Resistance (Fire) [gp=300, rar=U, att=—, C, type=Fiend, meta=Hell hound, comp=Fat] | Potion of Resistance (Force) [gp=240, rar=U, att=—, C, type=Aberration, comp=Fat] | Potion of Resistance (Lightning) [gp=240, rar=U, att=—, C, type=Construct, meta=Flesh golem, comp=Phial of blood] | Potion of Resistance (Necrotic) [gp=240, rar=U, att=—, C, type=Undead, comp=Phial of congealed blood] | Potion of Resistance (Poison) [gp=300, rar=U, att=—, C, type=Fiend, meta=Bearded devil, comp=Fat] | Potion of Resistance (Psychic) [gp=220, rar=U, att=—, C, type=Aberration, meta=Dreamholder, comp=Fat] | Potion of Resistance (Radiant) [gp=220, rar=U, att=—, C, type=Celestial, meta=Couatl, comp=Fat] | Potion of Resistance (Thunder) [gp=220, rar=U, att=—, C, type=Giant, meta=Storm, comp=Fat]","When you drink this potion, you have Resistance to one type of damage for 1 hour.",uncommon,potion,no,DMG,1
potion_of_speed,Potion,Potion of Speed,,Very Rare,,True,DMG 2024 (Magic Items A–Z PDF),0,,"When you drink this potion, you gain the effect of the Haste spell for 1 minute (no Concentration required) without suffering the wave of lethargy that typically occurs when the effect ends.",very rare,potion,no,DMG,2
potion_of_vitality,Potion,Potion of Vitality,,Very Rare,,True,DMG 2024 (Magic Items A–Z PDF),0,,"When you drink this potion, it removes any Exhaustion levels you have and ends the Poisoned condition on you.",very rare,potion,no,DMG,2
potion_of_water_breathing,Potion,Potion of Water Breathing,,Uncommon,,True,DMG 2024 (Magic Items A–Z PDF),0,,You can breathe underwater for 24 hours after drinking this potion.,uncommon,potion,no,DMG,1
ring_of_animal_influence,Ring,Ring of Animal Influence,,Rare,,False,DMG 2024 (Magic Items A–Z PDF),0,,"This ring has 3 charges, and it regains 1d3 expended charges daily at dawn.",rare,ring,no,DMG,3
ring_of_djinni_summoning,Ring,Ring of Djinni Summoning,,Legendary,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"While wearing this ring, you can take a Magic action to summon a particular Djinni from the Elemental Plane of Air.",legendary,ring,yes,DMG,5
ring_of_elemental_command,Ring,Ring of Elemental Command,,Legendary,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,Each Ring of Elemental Command is linked to one of the four Elemental Planes.,legendary,ring,yes,DMG,5
ring_of_evasion,Ring,Ring of Evasion,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"This ring has 3 charges, and it regains 1d3 expended charges daily at dawn.",rare,ring,yes,DMG,3
ring_of_feather_falling,Ring,Ring of Feather Falling,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"When you fall while wearing this ring, you descend 60 feet per round and take no damage from falling.",rare,ring,yes,DMG,3
ring_of_free_action,Ring,Ring of Free Action,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"While you wear this ring, Difficult Terrain doesn’t cost you extra movement.",rare,ring,yes,DMG,3
ring_of_invisibility,Ring,Ring of Invisibility,,Legendary,Required,False,DMG 2024 (Magic Items A–Z PDF),1,"Ring of Invisibility [gp=32,000, rar=L, att=Req, type=Elemental, meta=Invisible stalker, comp=Primordial dust]","While wearing this ring, you can take a Magic action to give yourself the Invisible condition.",legendary,ring,yes,DMG,5
ring_of_jumping,Ring,Ring of Jumping,,Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"While wearing this ring, you can cast Jump from it, but can target only yourself when you do so.",uncommon,ring,yes,DMG,2
ring_of_mind_shielding,Ring,Ring of Mind Shielding,,Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"While wearing this ring, you are immune to magic that allows other creatures to read your thoughts, determine whether you are lying, know your alignment, or know your creature type.",uncommon,ring,yes,DMG,2
ring_of_protection,Ring,Ring of Protection,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,You gain a +1 bonus to Armor Class and saving throws while wearing this ring.,rare,ring,yes,DMG,3
ring_of_regeneration,Ring,Ring of Regeneration,,Very Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"While wearing this ring, you regain 1d6 Hit Points every 10 minutes if you have at least 1 Hit Point.",very rare,ring,yes,DMG,4
ring_of_resistance,Ring,Ring of Resistance,,Rare,,False,DMG 2024 (Magic Items A–Z PDF),0,,You have Resistance to one damage type while wearing this ring.,rare,ring,no,DMG,3
ring_of_shooting_stars,Ring,Ring of Shooting Stars,,Very Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"RING OF PROTECTION, RING OF REGENERATION, RING OF SHOOTING STARS, RING OF RESISTANCE (FIRE)",very rare,ring,yes,DMG,4
ring_of_spell_storing,Ring,Ring of Spell Storing,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"This ring stores spells cast into it, holding them until the attuned wearer uses them.",rare,ring,yes,DMG,3
ring_of_spell_turning,Ring,Ring of Spell Turning,,Legendary,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"While wearing this ring, you have Advantage on saving throws against spells.",legendary,ring,yes,DMG,5
ring_of_swimming,Ring,Ring of Swimming,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),0,,You have a Swim Speed of 40 feet while wearing this ring.,uncommon,ring,no,DMG,2
ring_of_telekinesis,Ring,Ring of Telekinesis,,Very Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"While wearing this ring, you can cast Telekinesis from it.",very rare,ring,yes,DMG,4
ring_of_three_wishes,Ring,Ring of Three Wishes,,Legendary,,False,DMG 2024 (Magic Items A–Z PDF),0,,"While wearing this ring, you can expend 1 of its 3 charges to cast Wish from it.",legendary,ring,no,DMG,5
ring_of_warmth,Ring,Ring of Warmth,,Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"If you take Cold damage while wearing this ring, the ring reduces the damage you take by 2d8.",uncommon,ring,yes,DMG,2
ring_of_water_walking,Ring,Ring of Water Walking,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),0,,"While wearing this ring, you cast Water Walk from it, targeting only yourself.",uncommon,ring,no,DMG,2
ring_of_x_ray_vision,Ring,Ring of X-ray Vision,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"While wearing this ring, you can take a Magic action to gain X-ray vision with a range of 30 feet for 1 minute.",rare,ring,yes,DMG,3
ring_of_the_ram,Ring,Ring of the Ram,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,This ring has 3 charges and regains 1d3 expended charges daily at dawn.,rare,ring,yes,DMG,3
immovable_rod,Rod,Immovable Rod,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),1,"Immovable Rod [gp=2,000, rar=U, att=—, type=Beast, comp=Bone]","HORN OF BLASTING, IMMOVABLE ROD, HORN OF VALHALLA",uncommon,rod,no,DMG,2
rod_of_absorption,Rod,Rod of Absorption,,Very Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"While holding this rod, you can take a Reaction to absorb a spell that is targeting only you and doesn’t create an area of effect.",very rare,rod,yes,DMG,4
rod_of_alertness,Rod,Rod of Alertness,,Very Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,This rod has the following properties.,very rare,rod,yes,DMG,4
rod_of_lordly_might,Rod,Rod of Lordly Might,,Legendary,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"This rod has a flanged head, and it functions as a magic Mace that grants a +3 bonus to attack rolls and damage rolls made with it.",legendary,rod,yes,DMG,5
rod_of_resurrection,Rod,Rod of Resurrection,,Legendary,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,The rod has 5 charges.,legendary,rod,yes,DMG,5
rod_of_rulership,Rod,Rod of Rulership,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,You can take a Magic action to present the rod and command obedience from each creature of your choice that you can see within 120 feet of yourself.,rare,rod,yes,DMG,3
rod_of_security,Rod,Rod of Security,,Very Rare,,False,DMG 2024 (Magic Items A–Z PDF),0,,"While holding this rod, you can take a Magic action to activate it.",very rare,rod,no,DMG,4
rod_of_the_pact_keeper,Rod,Rod of the Pact Keeper,,"Uncommon (+1), Rare (+2),; Very Rare (+3)",Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"While holding this rod, you gain a bonus to spell attack rolls and to the saving throw DCs of your Warlock spells.",very rare,rod,yes,DMG,4
tentacle_rod,Rod,Tentacle Rod,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,This rod ends in three rubbery tentacles.,rare,rod,yes,DMG,3
scroll_of_protection,Scroll,Scroll of Protection,,Rare,,True,DMG 2024 (Magic Items A–Z PDF),0,,Each Scroll of Protection works against creatures of a specific creature type chosen by the DM or determined by rolling on the following table.,rare,scroll,no,DMG,1
scroll_of_titan_summoning,Scroll,Scroll of Titan Summoning,,Legendary,,True,DMG 2024 (Magic Items A–Z PDF),0,,"When you take a Magic action to read this scroll, a particular titan named in the scroll appears in an unoccupied space on the ground or in water that you can see within 1 mile of yourself.",legendary,scroll,no,DMG,3
staff_of_adornment,Staff,Staff of Adornment,,Common,,False,DMG 2024 (Magic Items A–Z PDF),0,,"If you place a Tiny object weighing no more than 1 pound (such as a shard of crystal, an egg, or a stone) above the tip of this staff while holding it, the object floats an inch from the staff’s tipand remains there until it is removed or until the staff is no longer in your possession.",common,staff,no,DMG,1
staff_of_birdcalls,Staff,Staff of Birdcalls,,Common,,False,DMG 2024 (Magic Items A–Z PDF),0,,This wooden staff is decorated with bird carvings.,common,staff,no,DMG,1
staff_of_charming,Staff,Staff of Charming,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,This staff has 10 charges.,rare,staff,yes,DMG,3
staff_of_fire,Staff,Staff of Fire,,Very Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,You have Resistance to Fire damage while you hold this staff.,very rare,staff,yes,DMG,4
staff_of_flowers,Staff,Staff of Flowers,,Common,,False,DMG 2024 (Magic Items A–Z PDF),0,,This wooden staff has 10 charges.,common,staff,no,DMG,1
staff_of_frost,Staff,Staff of Frost,,Very Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,You have Resistance to Cold damage while you hold this staff.,very rare,staff,yes,DMG,4
staff_of_healing,Staff,Staff of Healing,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,This staff has 10 charges.,rare,staff,yes,DMG,3
staff_of_power,Staff,Staff of Power,,Very Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,This staff has 20 charges and can be wielded as a magic Quarterstaff that grants a +2 bonus to attack rolls and damage rolls made with it.,very rare,staff,yes,DMG,4
staff_of_striking,Staff,Staff of Striking,,Very Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),1,"Staff of Striking [gp=12,000, rar=V, att=Req, type=Fey, meta=Sprite, comp=Psyche]",This staff can be wielded as a magic Quarterstaff that grants a +3 bonus to attack rolls anddamage rolls made with it.,very rare,staff,yes,DMG,4
staff_of_swarming_insects,Staff,Staff of Swarming Insects,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,This staff has 10 charges.,rare,staff,yes,DMG,3
staff_of_thunder_and_lightning,Staff,Staff of Thunder and Lightning,,Very Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,This staff can be wielded as a magic Quarterstaff that grants a +2 bonus to attack rolls and damage rolls made with it.,very rare,staff,yes,DMG,4
staff_of_withering,Staff,Staff of Withering,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,This staff has 3 charges and regains 1d3 expended charges daily at dawn.,rare,staff,yes,DMG,3
staff_of_the_adder,Staff,Staff of the Adder,,Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"STAFF OF FROST, STAFF OF SWARMING",uncommon,staff,yes,DMG,2
staff_of_the_magi,Staff,Staff of the Magi,,Legendary,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,This staff has 50 charges and can be wielded as a magic Quarterstaff that grants a +2 bonus to attack rolls and damage rolls madewith it.,legendary,staff,yes,DMG,5
staff_of_the_python,Staff,Staff of the Python,,Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"As a Magic action, you can throw this staff so that it lands in an unoccupied space within 10 feet of you, causing the staff to become a Giant Constrictor Snake in that space.",uncommon,staff,yes,DMG,2
staff_of_the_woodlands,Staff,Staff of the Woodlands,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,This staff has 6 charges and can be wielded as a magic Quarterstaff that grants a +2 bonus to attack rolls and damage rolls made with it.,rare,staff,yes,DMG,3
wand_of_binding,Wand,Wand of Binding,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,This wand has 7 charges.,rare,wand,yes,DMG,3
wand_of_conducting,Wand,Wand of Conducting,,Common,,False,DMG 2024 (Magic Items A–Z PDF),0,,This wand has 3 charges.,common,wand,no,DMG,1
wand_of_enemy_detection,Wand,Wand of Enemy Detection,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"WAND OF ENEMY DETECTION, WAND OF FEAR, WAND OF FIREBALL",rare,wand,yes,DMG,3
wand_of_fear,Wand,Wand of Fear,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,This wand has 7 charges.,rare,wand,yes,DMG,3
wand_of_fireballs,Wand,Wand of Fireballs,,Rare,Spellcaster Required,False,DMG 2024 (Magic Items A–Z PDF),1,"Wand of Fireballs [gp=25,000, rar=V R, att=Reqs, type=Elemental, meta=Fire elemental, comp=Volatile mote of fire]",This wand has 7 charges.,rare,wand,yes,DMG,3
wand_of_lightning_bolts,Wand,Wand of Lightning Bolts,,Rare,Spellcaster Required,False,DMG 2024 (Magic Items A–Z PDF),0,,This wand has 7 charges.,rare,wand,yes,DMG,3
wand_of_magic_detection,Wand,Wand of Magic Detection,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),0,,This wand has 3 charges.,uncommon,wand,no,DMG,2
wand_of_magic_missiles,Wand,Wand of Magic Missiles,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),0,,This wand has 7 charges.,uncommon,wand,no,DMG,2
wand_of_orcus,Wand,Wand of Orcus,,Artifact,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"Crafted and wielded by Orcus, this ghastly wand slips from the demon lord’s grasp from time to time.",artifact,wand,yes,DMG,5
wand_of_paralysis,Wand,Wand of Paralysis,,Rare,Spellcaster Required,False,DMG 2024 (Magic Items A–Z PDF),0,,This wand has 7 charges.,rare,wand,yes,DMG,3
wand_of_polymorph,Wand,Wand of Polymorph,,Very Rare,Spellcaster Required,False,DMG 2024 (Magic Items A–Z PDF),0,,This wand has 7 charges.,very rare,wand,yes,DMG,4
wand_of_pyrotechnics,Wand,Wand of Pyrotechnics,,Common,,False,DMG 2024 (Magic Items A–Z PDF),0,,This wand has 7 charges.,common,wand,no,DMG,1
