item_id,name,category,subtype,rarity,attunement,consumable,source,allowed,notes,att_detail,rarity_norm,category_norm,attunement_norm,source_ref,power_band
bag_of_tricks,Bag of Tricks,Wondrous Item,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),True,"This bag made from gray, rust, or tan cloth appears empty.",,uncommon,wondrous,no,DMG,2
bead_of_force,Bead of Force,Wondrous Item,,Rare,,False,DMG 2024 (Magic Items A–Z PDF),True,This small black sphere measures 3/4 of an inch in diameter and weighs an ounce.,,rare,wondrous,no,DMG,3
bead_of_nourishment,Bead of Nourishment,Wondrous Item,,Common,,False,DMG 2024 (Magic Items A–Z PDF),True,"This flavorless, gelatinous bead dissolves on your tongue and provides as much nourishment as 1 day of Rations.",,common,wondrous,no,DMG,1
bead_of_refreshment,Bead of Refreshment,Wondrous Item,,Common,,False,DMG 2024 (Magic Items A–Z PDF),True,"This flavorless, gelatinous bead dissolves in liquid, transforming up to a pint of the liquid into fresh, cold drinking water.",,common,wondrous,no,DMG,1
belt_of_dwarvenkind,Belt of Dwarvenkind,Wondrous Item,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"While wearing this belt, you gain the following benefits:",Requires Attunement,rare,wondrous,yes,DMG,3
berserker_axe,Berserker Axe,Weapon,"Battleaxe, Greataxe, or Halberd",Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),True,You gain a +1 bonus to attack rolls and damage rolls made with this magic weapon.,Requires Attunement,rare,weapon,yes,DMG,3
blackrazor,Blackrazor,Weapon,Greatsword,Artifact,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"Hidden in the dungeon of White Plume Mountain, Blackrazor shines like a piece of night sky filled with stars.",Requires Attunement,artifact,weapon,yes,DMG,5
book_of_exalted_deeds,Book of Exalted Deeds,Wondrous Item,,Artifact,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"The definitive treatise on all that is good in the multiverse, the Book of Exalted Deeds figures prominently in many religions.",Requires Attunement,artifact,wondrous,yes,DMG,5
book_of_vile_darkness,Book of Vile Darkness,Wondrous Item,,Artifact,Required,False,DMG 2024 (Magic Items A–Z PDF),True,The contents of this foul manuscript are the meat and drink of the wicked.,Requires Attunement,artifact,wondrous,yes,DMG,5
boots_of_elvenkind,Boots of Elvenkind,Wondrous Item,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),True,"While you wear these boots, your steps make no sound, regardless of the surface you are moving across.",,uncommon,wondrous,no,DMG,2
boots_of_false_tracks,Boots of False Tracks,Wondrous Item,,Common,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"While wearing these boots, you can have them leave tracks like those of any kind of Humanoid of your size.",Requires Attunement,common,wondrous,yes,DMG,1
boots_of_levitation,Boots of Levitation,Wondrous Item,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"While you wear these boots, you can cast Levitate on yourself.",Requires Attunement,rare,wondrous,yes,DMG,3
boots_of_speed,Boots of Speed,Wondrous Item,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"While you wear these boots, you can take a Bonus Action to click the boots’ heels together.",Requires Attunement,rare,wondrous,yes,DMG,3
boots_of_striding_and_springing,Boots of Striding and Springing,Wondrous Item,,Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"While you wear these boots, your Speed becomes 30 feet unless your Speed is higher, and your Speed isn’t reduced by you carrying weight in excess of your carrying capacity or wearing HeavyArmor.",Requires Attunement,uncommon,wondrous,yes,DMG,2
boots_of_the_winterlands,Boots of the Winterlands,Wondrous Item,,Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),True,These furred boots are snug and feel warm.,Requires Attunement,uncommon,wondrous,yes,DMG,2
bowl_of_commanding_water_elementals,Bowl of Commanding Water Elementals,Wondrous Item,,Rare,,False,DMG 2024 (Magic Items A–Z PDF),True,"While this bowl is filled with water and you are within 5 feet of it, you can take a Magic action to summon a Water Elemental.",,rare,wondrous,no,DMG,3
bracers_of_archery,Bracers of Archery,Wondrous Item,,Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"While wearing these bracers, you have proficiency with the Longbow and Shortbow, and you gain a +2 bonus to damage rolls made with such weapons.",Requires Attunement,uncommon,wondrous,yes,DMG,2
bracers_of_defense,Bracers of Defense,Wondrous Item,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"While wearing these bracers, you gain a +2 bonus to Armor Class if you are wearing no armor and using no Shield.",Requires Attunement,rare,wondrous,yes,DMG,3
brazier_of_commanding_fire_elementals,Brazier of Commanding Fire Elementals,Wondrous Item,,Rare,,False,DMG 2024 (Magic Items A–Z PDF),True,"While you are within 5 feet of this brazier, you can take a Magic action to summon a Fire Elemental.",,rare,wondrous,no,DMG,3
brooch_of_shielding,Brooch of Shielding,Wondrous Item,,Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"While wearing this brooch, you have Resistance to Force damage, and you have Immunity to damage from the Magic Missile spell.",Requires Attunement,uncommon,wondrous,yes,DMG,2
broom_of_flying,Broom of Flying,Wondrous Item,,Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"This wooden broom functions like a mundane broom until you stand astride it and take a Magic action to make it hover beneath you, at which time it can be ridden in the air.",Requires Attunement,uncommon,wondrous,yes,DMG,2
candle_of_invocation,Candle of Invocation,Wondrous Item,,Very Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"This candle’s magic is activated when the candle is lit, which requires a Magic action.",Requires Attunement,very rare,wondrous,yes,DMG,4
candle_of_the_deep,Candle of the Deep,Wondrous Item,,Common,,False,DMG 2024 (Magic Items A–Z PDF),True,The flame of this candle isn’t extinguished when immersed in water.,,common,wondrous,no,DMG,1
cape_of_the_mountebank,Cape of the Mountebank,Wondrous Item,,Rare,,False,DMG 2024 (Magic Items A–Z PDF),True,This cape smells faintly of brimstone.,,rare,wondrous,no,DMG,3
cap_of_water_breathing,Cap of Water Breathing,Wondrous Item,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),True,"While wearing this cap underwater, you can take a Magic action to create a bubble of air around your head.",,uncommon,wondrous,no,DMG,2
carpet_of_flying,Carpet of Flying,Wondrous Item,,Very Rare,,False,DMG 2024 (Magic Items A–Z PDF),True,You can make this carpet hover and fly by taking a Magic action and using the carpet’s command word.,,very rare,wondrous,no,DMG,4
cast_off_armor,Cast-Off Armor,Armor,"Any Light, Medium, or Heavy",Common,,False,DMG 2024 (Magic Items A–Z PDF),True,You can doff this armor as a Magic action.,,common,armor,no,DMG,1
cauldron_of_rebirth,Cauldron of Rebirth,Wondrous Item,,Very Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),True,This Tiny pot bears relief scenes of heroes on its cast-iron sides.,Requires Attunement by a Druid or Warlock,very rare,wondrous,yes,DMG,4
censer_of_controlling_air_elementals,Censer of Controlling Air Elementals,Wondrous Item,,Rare,,False,DMG 2024 (Magic Items A–Z PDF),True,"While gently swinging this censer, you can take a Magic action to summon an Air Elemental.",,rare,wondrous,no,DMG,3
charlatan_s_die,Charlatan’s Die,Wondrous Item,,Common,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"CENSER OF CONTROLLING AIR ELEMENTALS, CHARLATAN’S DIE, CAULDRON OF REBIRTH",Requires Attunement,common,wondrous,yes,DMG,1
chime_of_opening,Chime of Opening,Wondrous Item,,Rare,,False,DMG 2024 (Magic Items A–Z PDF),True,This hollow metal tube measures about 1 foot long and weighs 1 pound.,,rare,wondrous,no,DMG,3
circlet_of_blasting,Circlet of Blasting,Wondrous Item,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),True,"While wearing this circlet, you can cast Scorching Ray with it (+5 to hit).",,uncommon,wondrous,no,DMG,2
cloak_of_arachnida,Cloak of Arachnida,Wondrous Item,,Very Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"This fine garment is made of black silk interwoven with faint, silvery threads.",Requires Attunement,very rare,wondrous,yes,DMG,4
cloak_of_billowing,Cloak of Billowing,Wondrous Item,,Common,,False,DMG 2024 (Magic Items A–Z PDF),True,"While wearing this cloak, you can take a Bonus Action to make it billow dramatically for 1 minute.",,common,wondrous,no,DMG,1
cloak_of_displacement,Cloak of Displacement,Wondrous Item,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"While you wear this cloak, it magically projects an illusion that makes you appear to be standing in a place near your actual location, causing any creature to have Disadvantage on attack rollsagainst you.",Requires Attunement,rare,wondrous,yes,DMG,3
cloak_of_elvenkind,Cloak of Elvenkind,Wondrous Item,,Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"While you wear this cloak, Wisdom (Perception) checks made to perceive you have Disadvantage, and you have Advantage on Dexterity (Stealth) checks.",Requires Attunement,uncommon,wondrous,yes,DMG,2
cloak_of_invisibility,Cloak of Invisibility,Wondrous Item,,Legendary,Required,False,DMG 2024 (Magic Items A–Z PDF),True,This cloak has 3 charges and regains 1d3 expended charges daily at dawn.,Requires Attunement,legendary,wondrous,yes,DMG,5
cloak_of_many_fashions,Cloak of Many Fashions,Wondrous Item,,Common,,False,DMG 2024 (Magic Items A–Z PDF),True,"While wearing this cloak, you can take a Bonus Action to change the style, color, and apparent quality of the garment.",,common,wondrous,no,DMG,1
cloak_of_protection,Cloak of Protection,Wondrous Item,,Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),True,You gain a +1 bonus to Armor Class and saving throws while you wear this cloak.,Requires Attunement,uncommon,wondrous,yes,DMG,2
cloak_of_the_bat,Cloak of the Bat,Wondrous Item,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"While wearing this cloak, you have Advantage on Dexterity (Stealth) checks.",Requires Attunement,rare,wondrous,yes,DMG,3
cloak_of_the_manta_ray,Cloak of the Manta Ray,Wondrous Item,,Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"While wearing this cloak, you can breathe underwater, and you have a Swim Speed of 60 feet.",Requires Attunement,uncommon,wondrous,yes,DMG,2
clockwork_amulet,Clockwork Amulet,Wondrous Item,,Common,,False,DMG 2024 (Magic Items A–Z PDF),True,"This copper amulet contains tiny interlocking gears and is powered by magic from Mechanus, a plane of clockwork predictability.",,common,wondrous,no,DMG,1
clothes_of_mending,Clothes of Mending,Wondrous Item,,Common,,False,DMG 2024 (Magic Items A–Z PDF),True,"CLOAK OF ELVENKIND, CLOAK OF MANY FASHIONS, CLOAK OF PROTECTION, CLOAK OF THE MANTA RAY",,common,wondrous,no,DMG,1
crystal_ball,Crystal Ball,Wondrous Item,,Very Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"While touching this crystal orb, you can cast Scrying (save DC 17) with it.",Requires Attunement,very rare,wondrous,yes,DMG,4
crystal_ball_of_mind_reading,Crystal Ball of Mind Reading,Wondrous Item,,Legendary,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"While touching this crystal orb, you can cast Scrying (save DC 17) with it.",Requires Attunement,legendary,wondrous,yes,DMG,5
crystal_ball_of_telepathy,Crystal Ball of Telepathy,Wondrous Item,,Legendary,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"While touching this crystal orb, you can cast Scrying (save DC 17) with it.",Requires Attunement,legendary,wondrous,yes,DMG,5
crystal_ball_of_true_seeing,Crystal Ball of True Seeing,Wondrous Item,,Legendary,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"While touching this crystal orb, you can cast Scrying (save DC 17) with it.",Requires Attunement,legendary,wondrous,yes,DMG,5
cube_of_force,Cube of Force,Wondrous Item,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),True,This cube is about an inch across.,Requires Attunement,rare,wondrous,yes,DMG,3
cube_of_summoning,Cube of Summoning,Wondrous Item,,Rare,,False,DMG 2024 (Magic Items A–Z PDF),True,This Tiny cube looks like a jack-in-the-box.,,rare,wondrous,no,DMG,3
cubic_gate,Cubic Gate,Wondrous Item,,Legendary,,False,DMG 2024 (Magic Items A–Z PDF),True,This cube is 3 inches across and radiates palpable magical energy.,,legendary,wondrous,no,DMG,5
daern_s_instant_fortress,Daern’s Instant Fortress,Wondrous Item,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"As a Magic action, you can place this 1-inch adamantine statuette on the ground and, using a command word, cause it to grow rapidly into a square adamantine tower.",Requires Attunement,rare,wondrous,yes,DMG,3
dagger_of_venom,Dagger of Venom,Weapon,Dagger,Rare,,False,DMG 2024 (Magic Items A–Z PDF),True,You gain a +1 bonus to attack rolls and damage rolls made with this magic weapon.,,rare,weapon,no,DMG,3
dancing_sword,Dancing Sword,Weapon,"Greatsword, Longsword, Rapier, Scimitar, or Shortsword",Very Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),True,You can take a Bonus Action to toss this magic weapon into the air.,Requires Attunement,very rare,weapon,yes,DMG,4
dark_shard_amulet,Dark Shard Amulet,Wondrous Item,,Common,Required,False,DMG 2024 (Magic Items A–Z PDF),True,This amulet is fashioned from a shard of resilient material originating from an otherworldly realm.,Requires Attunement by a Warlock,common,wondrous,yes,DMG,1
decanter_of_endless_water,Decanter of Endless Water,Wondrous Item,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),True,"This stoppered flask sloshes when shaken, as if it contains water.",,uncommon,wondrous,no,DMG,2
deck_of_illusions,Deck of Illusions,Wondrous Item,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),True,This box contains a set of cards.,,uncommon,wondrous,no,DMG,2
deck_of_many_things,Deck of Many Things,Wondrous Item,,Legendary,,False,DMG 2024 (Magic Items A–Z PDF),True,"Usually found in a box or pouch, this deck contains a number of cards made of ivory or vellum.",,legendary,wondrous,no,DMG,5
defender,Defender,Weapon,Any Melee Weapon,Legendary,Required,False,DMG 2024 (Magic Items A–Z PDF),True,You gain a +3 bonus to attack rolls and damage rolls made with this magic weapon.,Requires Attunement,legendary,weapon,yes,DMG,5
demon_armor,Demon Armor,Armor,"Any Light, Medium, or Heavy",Very Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"While wearing this armor, you gain a +1 bonus to Armor Class, and you know Abyssal.",Requires Attunement,very rare,armor,yes,DMG,4
demonomicon_of_iggwilv,Demonomicon of Iggwilv,Wondrous Item,,Artifact,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"This treatise, composed by Iggwilv the archmage, documents the Abyss’s layers and inhabitants and is widely regarded as the most thorough and blasphemous tome of demonology in themultiverse.",Requires Attunement,artifact,wondrous,yes,DMG,5
dimensional_shackles,Dimensional Shackles,Wondrous Item,,Rare,,False,DMG 2024 (Magic Items A–Z PDF),True,You can take a Utilize action to place these shackles on a creature that has the Incapacitated condition.,,rare,wondrous,no,DMG,3
dragon_scale_mail,Dragon Scale Mail,Armor,Scale Mail,Very Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),True,Dragon Scale Mail is made of the scales of one kind of dragon.,Requires Attunement,very rare,armor,yes,DMG,4
dragon_slayer,Dragon Slayer,Weapon,Any Simple or Martial,Rare,,False,DMG 2024 (Magic Items A–Z PDF),True,You gain a +1 bonus to attack rolls and damage rolls made with this magic weapon.,,rare,weapon,no,DMG,3
dread_helm,Dread Helm,Wondrous Item,,Common,,False,DMG 2024 (Magic Items A–Z PDF),True,"While you’re wearing this fearsome steel helm, your eyes glow red and the rest of your face is hidden in shadow.",,common,wondrous,no,DMG,1
driftglobe,Driftglobe,Wondrous Item,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),True,This small sphere of thick glass weighs 1 pound.,,uncommon,wondrous,no,DMG,2
dust_of_disappearance,Dust of Disappearance,Wondrous Item,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),True,This powder resembles fine sand.,,uncommon,wondrous,no,DMG,2
dust_of_dryness,Dust of Dryness,Wondrous Item,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),True,This small packet contains 1d6 + 4 pinches of dust.,,uncommon,wondrous,no,DMG,2
dust_of_sneezing_and_choking,Dust of Sneezing and Choking,Wondrous Item,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),True,"Found in a small container, this powder resembles Dust of Disappearance, and Identify reveals it to be such.",,uncommon,wondrous,no,DMG,2
dwarven_plate,Dwarven Plate,Armor,Half-Plate Armor or Plate Armor,Very Rare,,False,DMG 2024 (Magic Items A–Z PDF),True,"While wearing this armor, you gain a +2 bonus to Armor Class.",,very rare,armor,no,DMG,4
dwarven_thrower,Dwarven Thrower,Weapon,Warhammer,Very Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),True,You gain a +3 bonus to attack rolls and damage rolls made with this magic weapon.,Requires Attunement by a Dwarf or a Creature Attuned to a Belt of Dwarvenkind,very rare,weapon,yes,DMG,4
ear_horn_of_hearing,Ear Horn of Hearing,Wondrous Item,,Common,,False,DMG 2024 (Magic Items A–Z PDF),True,"While held up to your ear, this horn suppresses the effects of the Deafened condition on you.",,common,wondrous,no,DMG,1
efreeti_bottle,Efreeti Bottle,Wondrous Item,,Very Rare,,False,DMG 2024 (Magic Items A–Z PDF),True,"When you take a Magic action to remove the stopper of this painted brass bottle, a cloud of thick smoke flows out of it.",,very rare,wondrous,no,DMG,4
efreeti_chain,Efreeti Chain,Armor,Chain Mail or Chain Shirt,Legendary,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"While wearing this armor, you gain a +3 bonus to Armor Class, you have Immunity to Firedamage, and you know Primordial.",Requires Attunement,legendary,armor,yes,DMG,5
elemental_gem,Elemental Gem,Wondrous Item,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),True,This gem contains a mote of elemental energy.,,uncommon,wondrous,no,DMG,2
elixir_of_health,Elixir of Health,Potion,,Rare,,True,DMG 2024 (Magic Items A–Z PDF),True,"When you drink this potion, you are cured of all magical contagions.",,rare,potion,no,DMG,1
elven_chain,Elven Chain,Armor,Chain Mail or Chain Shirt,Rare,,False,DMG 2024 (Magic Items A–Z PDF),True,You gain a +1 bonus to Armor Class while you wear this armor.,,rare,armor,no,DMG,3
enduring_spellbook,Enduring Spellbook,Wondrous Item,,Common,,False,DMG 2024 (Magic Items A–Z PDF),True,"This spellbook, along with anything written on its pages, can’t be damaged by fire or water.",,common,wondrous,no,DMG,1
energy_bow,Energy Bow,Weapon,Longbow or Shortbow,Very Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"You gain a +1 bonus to attack rolls and damage rolls made with this magic weapon, which has no string.",Requires Attunement,very rare,weapon,yes,DMG,4
ersatz_eye,Ersatz Eye,Wondrous Item,,Common,,False,DMG 2024 (Magic Items A–Z PDF),True,This magical eye replaces a real one that was lost or removed.,,common,wondrous,no,DMG,1
eversmoking_bottle,Eversmoking Bottle,Wondrous Item,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),True,"As a Magic action, you can open or close this bottle.",,uncommon,wondrous,no,DMG,2
executioner_s_axe,Executioner’s Axe,Weapon,"Battleaxe, Greataxe, Halberd, or Handaxe",Very Rare,,False,DMG 2024 (Magic Items A–Z PDF),True,You gain a +1 bonus to attack rolls and damage rolls made with this magic weapon.,,very rare,weapon,no,DMG,4
eye_and_hand_of_vecna,Eye and Hand of Vecna,Wondrous Item,,Artifact,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"Vecna was a mighty wizard who, through magic and conquest, forged a terrible empire.",Requires Attunement,artifact,wondrous,yes,DMG,5
eyes_of_charming,Eyes of Charming,Wondrous Item,,Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),True,These crystal lenses fit over the eyes.,Requires Attunement,uncommon,wondrous,yes,DMG,2
eyes_of_minute_seeing,Eyes of Minute Seeing,Wondrous Item,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),True,These crystal lenses fit over the eyes.,,uncommon,wondrous,no,DMG,2
eyes_of_the_eagle,Eyes of the Eagle,Wondrous Item,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),True,These crystal lenses fit over the eyes.,,uncommon,wondrous,no,DMG,2
flame_tongue,Flame Tongue,Weapon,Any Melee Weapon,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"While holding this magic weapon, you can take a Bonus Action and use a command word to cause flames to engulf the damage-dealing part of the weapon.",Requires Attunement,rare,weapon,yes,DMG,3
folding_boat,Folding Boat,Wondrous Item,,Rare,,False,DMG 2024 (Magic Items A–Z PDF),True,"This object appears as a wooden box that measures 12 inches long, 6 inches wide, and 6 inches deep.",,rare,wondrous,no,DMG,3
frost_brand,Frost Brand,Weapon,"Glaive, Greatsword, Longsword, Rapier, Scimitar, or Shortsword",Very Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"When you hit with an attack roll using this magic weapon, the target takes an extra 1d6 Cold damage.",Requires Attunement,very rare,weapon,yes,DMG,4
gauntlets_of_ogre_power,Gauntlets of Ogre Power,Wondrous Item,,Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),True,Your Strength is 19 while you wear these gauntlets.,Requires Attunement,uncommon,wondrous,yes,DMG,2
gem_of_brightness,Gem of Brightness,Wondrous Item,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),True,This prism has 50 charges.,,uncommon,wondrous,no,DMG,2
gem_of_seeing,Gem of Seeing,Wondrous Item,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),True,This gem has 3 charges.,Requires Attunement,rare,wondrous,yes,DMG,3
giant_slayer,Giant Slayer,Weapon,Any Simple or Martial,Rare,,False,DMG 2024 (Magic Items A–Z PDF),True,You gain a +1 bonus to attack rolls and damage rolls made with this magic weapon.,,rare,weapon,no,DMG,3
glamoured_studded_leather,Glamoured Studded Leather,Armor,Studded Leather Armor,Rare,,False,DMG 2024 (Magic Items A–Z PDF),True,"While wearing this armor, you gain a +1 bonus to Armor Class.",,rare,armor,no,DMG,3
gloves_of_missile_snaring,Gloves of Missile Snaring,Wondrous Item,,Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"If you’re hit by an attack roll made with a Ranged or Thrown weapon while wearing these gloves, you can take a Reaction to reduce the damage by 1d10 plus your Dexterity modifier if you have afree hand.",Requires Attunement,uncommon,wondrous,yes,DMG,2
gloves_of_swimming_and_climbing,Gloves of Swimming and Climbing,Wondrous Item,,Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"While wearing these gloves, you have a Climb Speed and a Swim Speed equal to your Speed, and you gain a +5 bonus to Strength (Athletics) checks made to climb or swim.",Requires Attunement,uncommon,wondrous,yes,DMG,2
